isolate,species_final,st,species_st,species_clean,year,acc_coll_date,assembly,period,rep_type_clean,mobtyper_cluster,fusion_status,total_species_st,species_st_clean,plasmid,flanker_window_cluster,flanker_window,flanker_cluster
CPO002,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,14/2/2019,illumina,2016-2020,IncHI2A (AA739 AJ058),NA,NA,36,Enterobacter hormaechei 93,IncHI2_CPO017,NA,NA,NA
CPO003,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,9/2/2019,illumina,2016-2020,IncHI2A (AA739 AJ055),NA,NA,44,Enterobacter hormaechei 190,IncHI2_CPO019,NA,NA,NA
CPO004,Escherichia coli,2520,Escherichia coli 2520,Escherichia coli,2019,8/2/2019,illumina,2016-2020,IncHI2A (AA739 AJ058),NA,NA,1,Escherichia coli - Other STs,IncHI2_CPO017,NA,NA,NA
CPO006,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,6/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,0_0,0,0
CPO006,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,6/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,1000_0,1000,0
CPO006,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,6/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,1500_0,1500,0
CPO006,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,6/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,2000_0,2000,0
CPO006,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,6/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,2500_0,2500,0
CPO006,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,6/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,3000_0,3000,0
CPO006,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,6/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,3500_4,3500,4
CPO006,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,6/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,4000_4,4000,4
CPO006,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,6/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,4500_1,4500,1
CPO006,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,6/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,500_0,500,0
CPO006,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,6/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_IncR_CPO060,5000_2,5000,2
CPO008,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,5/2/2019,illumina,2016-2020,IncHI2A (AA739 AJ058),NA,NA,36,Enterobacter hormaechei 93,IncHI2_CPO017,NA,NA,NA
CPO009,Enterobacter hormaechei,114,Enterobacter hormaechei 114,Enterobacter cloacae complex,2019,2/2/2019,hybrid,2016-2020,IncFIA/IncFIB/IncP (AD444 AN003),AD444_AN003,non_fusion,23,Enterobacter hormaechei 114,IncFIB_CPO009,0_0,0,0
CPO009,Enterobacter hormaechei,114,Enterobacter hormaechei 114,Enterobacter cloacae complex,2019,2/2/2019,hybrid,2016-2020,IncFIA/IncFIB/IncP (AD444 AN003),AD444_AN003,non_fusion,23,Enterobacter hormaechei 114,IncFIB_CPO009,1000_0,1000,0
CPO009,Enterobacter hormaechei,114,Enterobacter hormaechei 114,Enterobacter cloacae complex,2019,2/2/2019,hybrid,2016-2020,IncFIA/IncFIB/IncP (AD444 AN003),AD444_AN003,non_fusion,23,Enterobacter hormaechei 114,IncFIB_CPO009,1500_1,1500,1
CPO009,Enterobacter hormaechei,114,Enterobacter hormaechei 114,Enterobacter cloacae complex,2019,2/2/2019,hybrid,2016-2020,IncFIA/IncFIB/IncP (AD444 AN003),AD444_AN003,non_fusion,23,Enterobacter hormaechei 114,IncFIB_CPO009,2000_1,2000,1
CPO009,Enterobacter hormaechei,114,Enterobacter hormaechei 114,Enterobacter cloacae complex,2019,2/2/2019,hybrid,2016-2020,IncFIA/IncFIB/IncP (AD444 AN003),AD444_AN003,non_fusion,23,Enterobacter hormaechei 114,IncFIB_CPO009,2500_1,2500,1
CPO009,Enterobacter hormaechei,114,Enterobacter hormaechei 114,Enterobacter cloacae complex,2019,2/2/2019,hybrid,2016-2020,IncFIA/IncFIB/IncP (AD444 AN003),AD444_AN003,non_fusion,23,Enterobacter hormaechei 114,IncFIB_CPO009,3000_1,3000,1
CPO009,Enterobacter hormaechei,114,Enterobacter hormaechei 114,Enterobacter cloacae complex,2019,2/2/2019,hybrid,2016-2020,IncFIA/IncFIB/IncP (AD444 AN003),AD444_AN003,non_fusion,23,Enterobacter hormaechei 114,IncFIB_CPO009,3500_0,3500,0
CPO009,Enterobacter hormaechei,114,Enterobacter hormaechei 114,Enterobacter cloacae complex,2019,2/2/2019,hybrid,2016-2020,IncFIA/IncFIB/IncP (AD444 AN003),AD444_AN003,non_fusion,23,Enterobacter hormaechei 114,IncFIB_CPO009,4000_2,4000,2
CPO009,Enterobacter hormaechei,114,Enterobacter hormaechei 114,Enterobacter cloacae complex,2019,2/2/2019,hybrid,2016-2020,IncFIA/IncFIB/IncP (AD444 AN003),AD444_AN003,non_fusion,23,Enterobacter hormaechei 114,IncFIB_CPO009,4500_4,4500,4
CPO009,Enterobacter hormaechei,114,Enterobacter hormaechei 114,Enterobacter cloacae complex,2019,2/2/2019,hybrid,2016-2020,IncFIA/IncFIB/IncP (AD444 AN003),AD444_AN003,non_fusion,23,Enterobacter hormaechei 114,IncFIB_CPO009,500_0,500,0
CPO009,Enterobacter hormaechei,114,Enterobacter hormaechei 114,Enterobacter cloacae complex,2019,2/2/2019,hybrid,2016-2020,IncFIA/IncFIB/IncP (AD444 AN003),AD444_AN003,non_fusion,23,Enterobacter hormaechei 114,IncFIB_CPO009,5000_3,5000,3
CPO010,Acinetobacter ursingii,749,Acinetobacter ursingii 749,Acinetobacter spp.,2019,2/2/2019,hybrid,2016-2020,Untyped (AC935 AM306),AC935_AM306,non_fusion,1,Acinetobacter spp. - Other STs,novel_CPO117,NA,NA,NA
CPO011,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,0_0,0,0
CPO011,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,1000_0,1000,0
CPO011,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,1500_0,1500,0
CPO011,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,2000_0,2000,0
CPO011,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,2500_0,2500,0
CPO011,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,3000_0,3000,0
CPO011,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,3500_4,3500,4
CPO011,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,4000_4,4000,4
CPO011,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,4500_1,4500,1
CPO011,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,500_0,500,0
CPO011,Enterobacter hormaechei,93,Enterobacter hormaechei 93,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ058),AA739_AJ058,non_fusion,36,Enterobacter hormaechei 93,IncHI2_CPO017,5000_2,5000,2
CPO013,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_CPO019,0_0,0,0
CPO013,Enterobacter hormaechei,190,Enterobacter hormaechei 190,Enterobacter cloacae complex,2019,1/2/2019,hybrid,2016-2020,IncHI2A (AA739 AJ055),AA739_AJ055,non_fusion,44,Enterobacter hormaechei 190,IncHI2_CPO019,1000_0,1000,0
