,CPO002-Entcpx-02-21,CPO008-Entcpx-02-21,CPO011-Entcpx-02-21,CPO014-Entcpx-02-21,CPO016-Entcpx-02-21,CPO017,CPO049,CPO050-Entcpx-02-21,CPO052,CPO055,CPO056-Entcpx-02-21,CPO073-Entcpx-02-21,CPO089,CPO092,CPO098-Entcpx-02-21,CPO189-Entcpx-02-21,CPO190-Entcpx-02-21,CPO191-Entcpx-02-21,CPO214-Entcpx-02-21,CPO229-Entcpx-02-21,CPO242-Entcpx-02-21,CPO248-Entcpx-02-21,CPO251-Entcpx-02-21,CPO264-Entcpx-02-21,CPO267-Entcpx-02-21,CPO278-Entcpx-02-21,CPO285-Entcpx-02-21,CPO286-Entcpx-02-21,CPO291-Entcpx-02-21,CPO292-Entcpx-02-21,CPO303-Entcpx-02-21,CPO312-Entcpx-02-21,CPO320-Entcpx-02-21,CPO337-Entcpx-02-21,CPO398-Entcpx-02-21,CPO399,GCF_000534555,GCF_000534635,GCF_000534695,GCF_000534795,GCF_000724505,GCF_001022015,GCF_001022055,GCF_001022075,GCF_001022255,GCF_001472075,GCF_001472115,GCF_001472435,GCF_001472475,GCF_001472535,GCF_001472835,GCF_001472875,GCF_001525095,GCF_001525425,GCF_001525465,GCF_001525475,GCF_001874505,GCF_002246615,GCF_002850625,GCF_002858545,GCF_002918735,GCF_003176055,GCF_003176615,GCF_003288475,GCF_003693465,GCF_008368605,GCF_008368665,GCF_008369005,GCF_008369025,GCF_008641355,GCF_009887805,GCF_009887815,GCF_009888045,GCF_009888085,GCF_010588385,GCF_011006945,GCF_900075175,GCF_900075945,GCF_900077115,GCF_900077735,GCF_900558255,Reference
CPO002-Entcpx-02-21,,1,2,1,0,0,2,1,2,1,1,11,21,16,13,4,30,1,29,1,1,1,0,2,11,1,3,11,1,1,2,4,12,12,9,8,295,241,294,289,290,285,282,282,284,294,241,236,247,241,251,258,267,193,270,341,282,346,307,255,290,722,290,241,107,258,258,246,240,260,246,246,257,257,331,341,285,600,228,270,681,19
CPO008-Entcpx-02-21,1,,1,0,1,1,1,0,1,0,0,10,20,15,12,3,29,0,28,0,0,0,1,1,10,2,2,10,2,2,3,3,11,11,8,7,294,240,293,288,289,284,281,281,283,293,240,235,246,240,250,257,266,192,269,340,281,345,306,254,289,721,289,240,106,257,257,245,239,259,245,245,256,256,330,340,284,599,227,269,680,18
CPO011-Entcpx-02-21,2,1,,1,2,2,2,1,2,1,1,11,21,16,13,4,30,1,29,1,1,1,2,2,11,3,3,11,3,3,4,4,12,12,9,8,295,241,294,289,290,285,282,282,284,294,241,236,247,241,251,258,267,193,270,341,282,346,307,255,290,722,290,241,107,258,258,246,240,260,246,246,257,257,331,341,285,600,228,270,681,19
CPO014-Entcpx-02-21,1,0,1,,1,1,1,0,1,0,0,10,20,15,12,3,29,0,28,0,0,0,1,1,10,2,2,10,2,2,3,3,11,11,8,7,294,240,293,288,289,284,281,281,283,293,240,235,246,240,250,257,266,192,269,340,281,345,306,254,289,721,289,240,106,257,257,245,239,259,245,245,256,256,330,340,284,599,227,269,680,18
CPO016-Entcpx-02-21,0,1,2,1,,0,2,1,2,1,1,11,21,16,13,4,30,1,29,1,1,1,0,2,11,1,3,11,1,1,2,4,12,12,9,8,295,241,294,289,290,285,282,282,284,294,241,236,247,241,251,258,267,193,270,341,282,346,307,255,290,722,290,241,107,258,258,246,240,260,246,246,257,257,331,341,285,600,228,270,681,19
CPO017,0,1,2,1,0,,2,1,2,1,1,11,21,16,13,4,30,1,29,1,1,1,0,2,11,1,3,11,1,1,2,4,12,12,9,8,295,241,294,289,290,285,282,282,284,294,241,236,247,241,251,258,267,193,270,341,282,346,307,255,290,722,290,241,107,258,258,246,240,260,246,246,257,257,331,341,285,600,228,270,681,19
CPO049,2,1,2,1,2,2,,1,2,1,1,11,21,16,13,4,30,1,29,1,1,1,2,2,11,3,3,11,3,3,4,4,12,12,9,8,295,241,294,289,290,285,282,282,284,294,241,236,247,241,251,258,267,193,270,341,282,346,307,255,290,722,290,241,107,258,258,246,240,260,246,246,257,257,331,341,285,600,228,270,681,19
CPO050-Entcpx-02-21,1,0,1,0,1,1,1,,1,0,0,10,20,15,12,3,29,0,28,0,0,0,1,1,10,2,2,10,2,2,3,3,11,11,8,7,294,240,293,288,289,284,281,281,283,293,240,235,246,240,250,257,266,192,269,340,281,345,306,254,289,721,289,240,106,257,257,245,239,259,245,245,256,256,330,340,284,599,227,269,680,18
CPO052,2,1,2,1,2,2,2,1,,1,1,11,21,16,13,4,30,1,29,1,1,1,2,2,11,3,3,11,3,3,4,4,12,12,9,8,295,241,294,289,290,285,282,282,284,294,241,236,247,241,251,258,267,193,270,341,282,346,307,255,290,722,290,241,107,258,258,246,240,260,246,246,257,257,331,341,285,600,228,270,681,19
CPO055,1,0,1,0,1,1,1,0,1,,0,10,20,15,12,3,29,0,28,0,0,0,1,1,10,2,2,10,2,2,3,3,11,11,8,7,294,240,293,288,289,284,281,281,283,293,240,235,246,240,250,257,266,192,269,340,281,345,306,254,289,721,289,240,106,257,257,245,239,259,245,245,256,256,330,340,284,599,227,269,680,18
