,CPO038-Sermar-02-21,CPO253-Sermar-02-21,CPO373-Sermar-02-21,CPO410-Sermar-02-21,GCF_001065935,GCF_001537725,GCF_001539045,GCF_001594385,GCF_003031545,GCF_007954045,GCF_013169905,GCF_013169995,GCF_013170015,GCF_902386095,Reference
CPO038-Sermar-02-21,,2,1,0,1314,1027,27,874,31,879,877,265,271,1314,1
CPO253-Sermar-02-21,2,,1,2,1314,1027,27,874,31,879,877,265,271,1314,1
CPO373-Sermar-02-21,1,1,,1,1313,1026,26,873,30,878,876,264,270,1313,0
CPO410-Sermar-02-21,0,2,1,,1314,1027,27,874,31,879,877,265,271,1314,1
GCF_001065935,1314,1314,1313,1314,,1530,1303,1326,1307,1334,1329,1273,1279,42,1313
GCF_001537725,1027,1027,1026,1027,1530,,1016,869,1020,880,872,1004,1010,1530,1026
GCF_001539045,27,27,26,27,1303,1016,,863,20,868,866,254,260,1303,26
GCF_001594385,874,874,873,874,1326,869,863,,867,166,25,851,857,1326,873
GCF_003031545,31,31,30,31,1307,1020,20,867,,872,870,258,264,1307,30
GCF_007954045,879,879,878,879,1334,880,868,166,872,,169,858,864,1334,878
GCF_013169905,877,877,876,877,1329,872,866,25,870,169,,854,860,1329,876
GCF_013169995,265,265,264,265,1273,1004,254,851,258,858,854,,12,1273,264
GCF_013170015,271,271,270,271,1279,1010,260,857,264,864,860,12,,1279,270
GCF_902386095,1314,1314,1313,1314,42,1530,1303,1326,1307,1334,1329,1273,1279,,1313
Reference,1,1,0,1,1313,1026,26,873,30,878,876,264,270,1313,
