,CPO119,CPO120-Kleoxy-02-21,CPO121,GCF_021228775,Reference
CPO119,,3,0,14,1
CPO120-Kleoxy-02-21,3,,3,15,4
CPO121,0,3,,14,1
GCF_021228775,14,15,14,,15
Reference,1,4,1,15,
